STUDENT,SCHOOL,CITY,GROUP,SUBJECT,SCORE,STARTDATE,ENDDATE,DURATION,ACTIVITYID
0E93B7CC,3C49AA57,Monterrey,329D1823,Matemáticas,7,43:13.5,11:13.9,5213,226164
B5414069,AFDB98BD,México,385500A7,Matemáticas,7.2,34:42.2,27:47.2,2959,219333
31BE1DB9,7FB68715,México,4B2E8458,Matemáticas,8.8,02:38.6,41:51.4,5904,213540
3D3E0B02,9978663E,Madrid,7D82C9A1,Matemáticas,3.6,29:23.9,03:31.2,4302,220980
E754653C,67BB77A5,Brasilia,6163354B,Español,7,40:24.4,57:40.4,4604,217763
4FC87D9E,7FB68715,México,CC5D52E3,Matemáticas,7.6,34:32.6,01:28.6,5013,224381
13888C76,A486798D,México,B9337BA4,Matemáticas,2.4,02:01.1,05:30.1,3780,212051
49EBA345,9978663E,Madrid,96F8FCF0,Matemáticas,4.4,38:02.9,33:42.4,2055,225173
495DAA32,9978663E,Madrid,44EF6352,Matemáticas,6,53:40.5,22:40.7,5221,221628
CA6005A1,9978663E,Madrid,456EBE2F,Español,5.4,32:01.2,08:24.2,5574,215156
7307D228,A486798D,México,0EA62CAD,Matemáticas,6.2,03:15.2,04:29.2,7221,214923
F3F567B8,7FB68715,México,3FD6CC1B,Español,8.2,16:06.2,01:27.0,2682,211940
10A8C1CB,A486798D,México,7553FBC5,Español,7,04:31.1,12:37.2,3974,218523
02FCA2B9,A486798D,México,7B4B171D,Matemáticas,7,00:13.4,53:23.9,6760,214201
893D9D16,1167FDAE,Berlín,01885CA0,Matemáticas,8.2,02:20.7,24:13.2,8126,215958
6E90CA30,A486798D,México,7553FBC5,Español,8.8,06:40.1,39:57.9,5540,219920
90FA0A69,AE9E4D9C,Phoenix,19E10D71,Matemáticas,8,39:17.6,49:04.6,9885,222498
9C72CAFA,A486798D,México,D2F5812E,Español,3.4,54:01.6,03:40.7,535,214871
5C86A670,3C81C45E,Barcelona,F07846A8,Matemáticas,5.2,13:45.2,02:48.7,2985,220947
AD65C9C9,A486798D,México,176A123A,Español,4.2,13:52.3,35:55.4,1300,219722
EDD1896E,A486798D,México,2DD38A8B,Matemáticas,9,05:55.7,00:37.5,6816,214687
68A1B5BF,A2AB9C69,Santiago,0EF19EE5,Matemáticas,4.2,14:08.7,33:09.8,1099,211570
8136F308,AFDB98BD,México,FA79832D,Matemáticas,5,16:54.5,59:33.7,2513,220800
8.53E+65,3C81C45E,Barcelona,D0E366EC,Matemáticas,1.4,04:52.8,27:07.1,1161,212797
E2B2A6C1,1167FDAE,Berlín,CEADDC79,Español,7.2,01:13.5,47:02.7,2727,211708
37258F57,9978663E,Madrid,B07371F6,Español,3.4,52:38.6,32:02.1,2322,221954
5AF92756,A2AB9C69,Santiago,6269483D,Matemáticas,7.4,57:43.5,11:51.4,4382,223107
307247B3,67BB77A5,Brasilia,FB17AEE0,Español,5.6,10:52.9,30:09.9,4734,219471
5A98F111,AE9E4D9C,Phoenix,15C13213,Matemáticas,6.6,19:21.3,24:10.6,7343,221674
0EA68E72,4A1E545C,México,DC4F438F,Español,7.8,00:11.0,42:01.2,6085,213559
D13D0179,A486798D,México,FEEBEF8E,Matemáticas,4.6,27:07.9,41:20.6,4355,216855
65F4F55F,1167FDAE,Berlín,D1B6161B,Matemáticas,8,06:14.4,33:47.0,8826,216470
372990CE,A486798D,México,2B5DD894,Español,4.8,21:21.5,05:47.1,2597,215009
F6184BAD,F030B0A5,Sevilla,B4EAFCDB,Español,2,55:54.3,21:03.9,1487,215798
5F953F2C,A486798D,México,0EA62CAD,Español,7,17:32.8,56:00.1,5858,220652
EADA107A,A486798D,México,0EA62CAD,Español,8,39:37.9,07:01.5,4443,218257
2E180EED,9978663E,Madrid,44EF6352,Español,5.6,41:55.9,12:51.0,2969,226445
C970B98A,3C81C45E,Barcelona,96B5267C,Matemáticas,7.4,25:07.6,04:01.4,4508,214888
333DBEA4,9978663E,Madrid,38A6F80C,Español,7.4,51:36.2,29:16.6,2151,216192
7F26D06D,3C49AA57,Monterrey,329D1823,Matemáticas,3.2,04:26.3,56:15.3,3065,217691
725C95B3,A486798D,México,A57CA1E9,Matemáticas,8.8,04:27.7,44:32.2,5978,213684
E9B0028D,7FB68715,México,5467F1B9,Matemáticas,8.4,08:01.4,25:55.3,4428,216049
1DA30407,A2AB9C69,Santiago,0EF19EE5,Español,2.4,29:42.0,07:54.8,1252,228871
893B1C85,F030B0A5,Sevilla,99CB5F4A,Español,3.2,58:58.1,06:24.3,3720,226421
2AB4A84B,A486798D,México,2B5DD894,Español,9.4,23:40.0,30:21.5,3600,216250
6283E80F,A486798D,México,2DD38A8B,Español,7,14:03.3,19:32.5,3851,218914
541E4E70,1167FDAE,Berlín,289CED7E,Español,7.2,22:48.4,21:54.8,6099,215837
5D2AECB5,9978663E,Madrid,96F8FCF0,Español,NULL,17:12.0,NULL,NULL,NULL
218763D1,0F150B72,Phoenix,3DF5CCC4,Español,6,15:42.5,46:00.3,6445,217120
7394E85B,AFDB98BD,México,385500A7,Español,7.4,56:18.9,22:53.2,5079,221637
E14FE885,3C49AA57,Monterrey,55307DCA,Matemáticas,8,00:30.4,54:24.8,6799,214272
E02DF6A2,F030B0A5,Sevilla,99CB5F4A,Español,4.8,21:37.8,06:33.5,2521,212086
6097130C,AFDB98BD,México,B03A01BD,Español,5.2,05:43.0,51:12.2,2547,217403
0AC3D767,A486798D,México,13E646F6,Matemáticas,7,14:53.0,54:56.8,9573,217605
2AB4A84B,A486798D,México,2B5DD894,Matemáticas,5.8,59:20.2,22:54.6,4707,212629
20CB022D,A486798D,México,7B4B171D,Matemáticas,NULL,01:06.9,NULL,NULL,NULL
